entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
30 35 0 1 1993 1994 2996926.000000 2996926.000000 2996926.000000
35 40 0 1 1993 1994 2572992.000000 2572992.000000 2572992.000000
40 45 0 1 1993 1994 2202039.000000 2202039.000000 2202039.000000
45 50 0 1 1993 1994 1901482.000000 1901482.000000 1901482.000000
50 55 0 1 1993 1994 1505256.000000 1505256.000000 1505256.000000
55 60 0 1 1993 1994 1220364.000000 1220364.000000 1220364.000000
60 65 0 1 1993 1994 966085.000000 966085.000000 966085.000000
65 70 0 1 1993 1994 671129.000000 671129.000000 671129.000000
70 120 0 1 1993 1994 990895.000000 990895.000000 990895.000000
0 5 0 1 1994 1995 10285950.000000 10285950.000000 10285950.000000
5 10 0 1 1994 1995 8488470.000000 8488470.000000 8488470.000000
10 15 0 1 1994 1995 7082361.000000 7082361.000000 7082361.000000
15 20 0 1 1994 1995 5631661.000000 5631661.000000 5631661.000000
20 25 0 1 1994 1995 4667171.000000 4667171.000000 4667171.000000
25 30 0 1 1994 1995 3772861.000000 3772861.000000 3772861.000000
30 35 0 1 1994 1995 3080518.000000 3080518.000000 3080518.000000
35 40 0 1 1994 1995 2669257.000000 2669257.000000 2669257.000000
40 45 0 1 1994 1995 2246674.000000 2246674.000000 2246674.000000
45 50 0 1 1994 1995 1961435.000000 1961435.000000 1961435.000000
50 55 0 1 1994 1995 1567926.000000 1567926.000000 1567926.000000
55 60 0 1 1994 1995 1242045.000000 1242045.000000 1242045.000000
60 65 0 1 1994 1995 1023072.000000 1023072.000000 1023072.000000
65 70 0 1 1994 1995 681803.000000 681803.000000 681803.000000
70 120 0 1 1994 1995 1029919.000000 1029919.000000 1029919.000000
0 5 0 1 1995 1996 10591714.000000 10591714.000000 10591714.000000
5 10 0 1 1995 1996 8709212.000000 8709212.000000 8709212.000000
10 15 0 1 1995 1996 7405439.000000 7405439.000000 7405439.000000
15 20 0 1 1995 1996 5856649.000000 5856649.000000 5856649.000000
20 25 0 1 1995 1996 4835350.000000 4835350.000000 4835350.000000
25 30 0 1 1995 1996 3930163.000000 3930163.000000 3930163.000000
30 35 0 1 1995 1996 3172711.000000 3172711.000000 3172711.000000
35 40 0 1 1995 1996 2756245.000000 2756245.000000 2756245.000000
40 45 0 1 1995 1996 2303279.000000 2303279.000000 2303279.000000
45 50 0 1 1995 1996 2011713.000000 2011713.000000 2011713.000000
50 55 0 1 1995 1996 1628981.000000 1628981.000000 1628981.000000
55 60 0 1 1995 1996 1271889.000000 1271889.000000 1271889.000000
60 65 0 1 1995 1996 1069411.000000 1069411.000000 1069411.000000
65 70 0 1 1995 1996 705569.000000 705569.000000 705569.000000
70 120 0 1 1995 1996 1061555.000000 1061555.000000 1061555.000000
