entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
15 20 0 1 1994 1995 94764184.000000 94764184.000000 94764184.000000
20 25 0 1 1994 1995 84913072.000000 84913072.000000 84913072.000000
25 30 0 1 1994 1995 75511640.000000 75511640.000000 75511640.000000
30 35 0 1 1994 1995 67558920.000000 67558920.000000 67558920.000000
35 40 0 1 1994 1995 59545132.000000 59545132.000000 59545132.000000
40 45 0 1 1994 1995 50956144.000000 50956144.000000 50956144.000000
45 50 0 1 1994 1995 38750176.000000 38750176.000000 38750176.000000
50 55 0 1 1994 1995 33091264.000000 33091264.000000 33091264.000000
55 60 0 1 1994 1995 28520428.000000 28520428.000000 28520428.000000
60 65 0 1 1994 1995 22395752.000000 22395752.000000 22395752.000000
65 70 0 1 1994 1995 16252556.000000 16252556.000000 16252556.000000
70 120 0 1 1994 1995 21639838.000000 21639838.000000 21639838.000000
0 5 0 1 1995 1996 124391288.000000 124391288.000000 124391288.000000
5 10 0 1 1995 1996 117804688.000000 117804688.000000 117804688.000000
10 15 0 1 1995 1996 109616264.000000 109616264.000000 109616264.000000
15 20 0 1 1995 1996 96893616.000000 96893616.000000 96893616.000000
20 25 0 1 1995 1996 86676792.000000 86676792.000000 86676792.000000
25 30 0 1 1995 1996 77009592.000000 77009592.000000 77009592.000000
30 35 0 1 1995 1996 68975576.000000 68975576.000000 68975576.000000
35 40 0 1 1995 1996 60800320.000000 60800320.000000 60800320.000000
40 45 0 1 1995 1996 53028032.000000 53028032.000000 53028032.000000
45 50 0 1 1995 1996 40367308.000000 40367308.000000 40367308.000000
50 55 0 1 1995 1996 33704680.000000 33704680.000000 33704680.000000
55 60 0 1 1995 1996 29129362.000000 29129362.000000 29129362.000000
60 65 0 1 1995 1996 23079140.000000 23079140.000000 23079140.000000
65 70 0 1 1995 1996 16798090.000000 16798090.000000 16798090.000000
70 120 0 1 1995 1996 22208052.000000 22208052.000000 22208052.000000
0 5 0 1 1996 1997 125106792.000000 125106792.000000 125106792.000000
5 10 0 1 1996 1997 118871944.000000 118871944.000000 118871944.000000
10 15 0 1 1996 1997 111457968.000000 111457968.000000 111457968.000000
15 20 0 1 1996 1997 99121760.000000 99121760.000000 99121760.000000
20 25 0 1 1996 1997 88374976.000000 88374976.000000 88374976.000000
25 30 0 1 1996 1997 78565456.000000 78565456.000000 78565456.000000
30 35 0 1 1996 1997 70314528.000000 70314528.000000 70314528.000000
35 40 0 1 1996 1997 62087232.000000 62087232.000000 62087232.000000
40 45 0 1 1996 1997 54695300.000000 54695300.000000 54695300.000000
45 50 0 1 1996 1997 42262860.000000 42262860.000000 42262860.000000
50 55 0 1 1996 1997 34307872.000000 34307872.000000 34307872.000000
55 60 0 1 1996 1997 29556680.000000 29556680.000000 29556680.000000
60 65 0 1 1996 1997 23670048.000000 23670048.000000 23670048.000000
65 70 0 1 1996 1997 17300936.000000 17300936.000000 17300936.000000
70 120 0 1 1996 1997 23198858.000000 23198858.000000 23198858.000000
0 5 0 1 1997 1998 125787456.000000 125787456.000000 125787456.000000
5 10 0 1 1997 1998 119767720.000000 119767720.000000 119767720.000000
10 15 0 1 1997 1998 113057360.000000 113057360.000000 113057360.000000
15 20 0 1 1997 1998 101573200.000000 101573200.000000 101573200.000000
20 25 0 1 1997 1998 90043056.000000 90043056.000000 90043056.000000
25 30 0 1 1997 1998 80225936.000000 80225936.000000 80225936.000000
30 35 0 1 1997 1998 71632424.000000 71632424.000000 71632424.000000
35 40 0 1 1997 1998 63478560.000000 63478560.000000 63478560.000000
40 45 0 1 1997 1998 56025880.000000 56025880.000000 56025880.000000
45 50 0 1 1997 1998 44574116.000000 44574116.000000 44574116.000000
50 55 0 1 1997 1998 34995640.000000 34995640.000000 34995640.000000
55 60 0 1 1997 1998 29963606.000000 29963606.000000 29963606.000000
60 65 0 1 1997 1998 24314400.000000 24314400.000000 24314400.000000
65 70 0 1 1997 1998 17826964.000000 17826964.000000 17826964.000000
70 120 0 1 1997 1998 24139000.000000 24139000.000000 24139000.000000
0 5 0 1 1998 1999 126427632.000000 126427632.000000 126427632.000000
5 10 0 1 1998 1999 120476136.000000 120476136.000000 120476136.000000
10 15 0 1 1998 1999 114451312.000000 114451312.000000 114451312.000000
15 20 0 1 1998 1999 104117984.000000 104117984.000000 104117984.000000
20 25 0 1 1998 1999 91754776.000000 91754776.000000 91754776.000000
25 30 0 1 1998 1999 81958368.000000 81958368.000000 81958368.000000
30 35 0 1 1998 1999 72963280.000000 72963280.000000 72963280.000000
35 40 0 1 1998 1999 64936816.000000 64936816.000000 64936816.000000
40 45 0 1 1998 1999 57144140.000000 57144140.000000 57144140.000000
