entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
ti- 	 7 	 45 	 50 	 0 	 1 	 0.000716418754 	 0.000716418754 	 0.000716418754 
ti- 	 7 	 50 	 55 	 0 	 1 	 0.000704911113 	 0.000704911113 	 0.000704911113 
ti- 	 7 	 55 	 60 	 0 	 1 	 0.000681175762 	 0.000681175762 	 0.000681175762 
ti- 	 7 	 60 	 65 	 0 	 1 	 0.000739643937 	 0.000739643937 	 0.000739643937 
ti- 	 7 	 65 	 70 	 0 	 1 	 0.000501664191 	 0.000501664191 	 0.000501664191 
ti- 	 7 	 70 	 75 	 0 	 1 	 0.000349026430 	 0.000349026430 	 0.000349026430 
ti- 	 7 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
tn 	 8 	 0 	 5 	 0 	 1 	 0.000058973426 	 0.000058973426 	 0.000058973426 
tn 	 8 	 5 	 10 	 0 	 1 	 0.000061678006 	 0.000061678006 	 0.000061678006 
tn 	 8 	 10 	 15 	 0 	 1 	 0.000207616384 	 0.000207616384 	 0.000207616384 
tn 	 8 	 15 	 20 	 0 	 1 	 0.000139107838 	 0.000139107838 	 0.000139107838 
tn 	 8 	 20 	 25 	 0 	 1 	 0.000215984578 	 0.000215984578 	 0.000215984578 
tn 	 8 	 25 	 30 	 0 	 1 	 0.000248939825 	 0.000248939825 	 0.000248939825 
tn 	 8 	 30 	 35 	 0 	 1 	 0.000239994587 	 0.000239994587 	 0.000239994587 
tn 	 8 	 35 	 40 	 0 	 1 	 0.000214250048 	 0.000214250048 	 0.000214250048 
tn 	 8 	 40 	 45 	 0 	 1 	 0.000193969403 	 0.000193969403 	 0.000193969403 
tn 	 8 	 45 	 50 	 0 	 1 	 0.000184648505 	 0.000184648505 	 0.000184648505 
tn 	 8 	 50 	 55 	 0 	 1 	 0.000181610639 	 0.000181610639 	 0.000181610639 
tn 	 8 	 55 	 60 	 0 	 1 	 0.000175478573 	 0.000175478573 	 0.000175478573 
tn 	 8 	 60 	 65 	 0 	 1 	 0.000190297610 	 0.000190297610 	 0.000190297610 
tn 	 8 	 65 	 70 	 0 	 1 	 0.000129682191 	 0.000129682191 	 0.000129682191 
tn 	 8 	 70 	 75 	 0 	 1 	 0.000090463850 	 0.000090463850 	 0.000090463850 
tn 	 8 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
defi+ 	 9 	 0 	 5 	 0 	 1 	 0.000011752365 	 0.000011752365 	 0.000011752365 
defi+ 	 9 	 5 	 10 	 0 	 1 	 0.000023882507 	 0.000023882507 	 0.000023882507 
defi+ 	 9 	 10 	 15 	 0 	 1 	 0.000065003722 	 0.000065003722 	 0.000065003722 
defi+ 	 9 	 15 	 20 	 0 	 1 	 0.000263394421 	 0.000263394421 	 0.000263394421 
defi+ 	 9 	 20 	 25 	 0 	 1 	 0.000677701371 	 0.000677701371 	 0.000677701371 
defi+ 	 9 	 25 	 30 	 0 	 1 	 0.001151003003 	 0.001151003003 	 0.001151003003 
defi+ 	 9 	 30 	 35 	 0 	 1 	 0.001588590571 	 0.001588590571 	 0.001588590571 
defi+ 	 9 	 35 	 40 	 0 	 1 	 0.001952280906 	 0.001952280906 	 0.001952280906 
defi+ 	 9 	 40 	 45 	 0 	 1 	 0.002261695269 	 0.002261695269 	 0.002261695269 
defi+ 	 9 	 45 	 50 	 0 	 1 	 0.002522060531 	 0.002522060531 	 0.002522060531 
defi+ 	 9 	 50 	 55 	 0 	 1 	 0.002775249174 	 0.002775249174 	 0.002775249174 
defi+ 	 9 	 55 	 60 	 0 	 1 	 0.003053515029 	 0.003053515029 	 0.003053515029 
defi+ 	 9 	 60 	 65 	 0 	 1 	 0.003337940037 	 0.003337940037 	 0.003337940037 
defi+ 	 9 	 65 	 70 	 0 	 1 	 0.003509867886 	 0.003509867886 	 0.003509867886 
defi+ 	 9 	 70 	 75 	 0 	 1 	 0.003692861229 	 0.003692861229 	 0.003692861229 
defi+ 	 9 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ni+ 	 10 	 0 	 5 	 0 	 1 	 0.000023875537 	 0.000023875537 	 0.000023875537 
ni+ 	 10 	 5 	 10 	 0 	 1 	 0.000043204559 	 0.000043204559 	 0.000043204559 
ni+ 	 10 	 10 	 15 	 0 	 1 	 0.000119028722 	 0.000119028722 	 0.000119028722 
ni+ 	 10 	 15 	 20 	 0 	 1 	 0.000512020245 	 0.000512020245 	 0.000512020245 
ni+ 	 10 	 20 	 25 	 0 	 1 	 0.001299489797 	 0.001299489797 	 0.001299489797 
ni+ 	 10 	 25 	 30 	 0 	 1 	 0.002083746127 	 0.002083746127 	 0.002083746127 
ni+ 	 10 	 30 	 35 	 0 	 1 	 0.002699052395 	 0.002699052395 	 0.002699052395 
ni+ 	 10 	 35 	 40 	 0 	 1 	 0.003114143155 	 0.003114143155 	 0.003114143155 
ni+ 	 10 	 40 	 45 	 0 	 1 	 0.003398950735 	 0.003398950735 	 0.003398950735 
ni+ 	 10 	 45 	 50 	 0 	 1 	 0.003602775470 	 0.003602775470 	 0.003602775470 
