entries = 304 
description 	 index 	 amin 	 amax 	 emin 	 emax 	 value 	 interval 
dn 	 5 	 30 	 35 	 0 	 1 	 0.000000014284 	 0.000000014284 	 0.000000014284 
dn 	 5 	 35 	 40 	 0 	 1 	 0.000000014919 	 0.000000014919 	 0.000000014919 
dn 	 5 	 40 	 45 	 0 	 1 	 0.000000016411 	 0.000000016411 	 0.000000016411 
dn 	 5 	 45 	 50 	 0 	 1 	 0.000000018202 	 0.000000018202 	 0.000000018202 
dn 	 5 	 50 	 55 	 0 	 1 	 0.000000019300 	 0.000000019300 	 0.000000019300 
dn 	 5 	 55 	 60 	 0 	 1 	 0.000000019599 	 0.000000019599 	 0.000000019599 
dn 	 5 	 60 	 65 	 0 	 1 	 0.000000021218 	 0.000000021218 	 0.000000021218 
dn 	 5 	 65 	 70 	 0 	 1 	 0.000000019125 	 0.000000019125 	 0.000000019125 
dn 	 5 	 70 	 75 	 0 	 1 	 0.000000020795 	 0.000000020795 	 0.000000020795 
dn 	 5 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ti+ 	 6 	 0 	 5 	 0 	 1 	 0.000000003686 	 0.000000003686 	 0.000000003686 
ti+ 	 6 	 5 	 10 	 0 	 1 	 0.000000001890 	 0.000000001890 	 0.000000001890 
ti+ 	 6 	 10 	 15 	 0 	 1 	 0.000000006925 	 0.000000006925 	 0.000000006925 
ti+ 	 6 	 15 	 20 	 0 	 1 	 0.000000029848 	 0.000000029848 	 0.000000029848 
ti+ 	 6 	 20 	 25 	 0 	 1 	 0.000000044549 	 0.000000044549 	 0.000000044549 
ti+ 	 6 	 25 	 30 	 0 	 1 	 0.000000043850 	 0.000000043850 	 0.000000043850 
ti+ 	 6 	 30 	 35 	 0 	 1 	 0.000000042323 	 0.000000042323 	 0.000000042323 
ti+ 	 6 	 35 	 40 	 0 	 1 	 0.000000044016 	 0.000000044016 	 0.000000044016 
ti+ 	 6 	 40 	 45 	 0 	 1 	 0.000000048390 	 0.000000048390 	 0.000000048390 
ti+ 	 6 	 45 	 50 	 0 	 1 	 0.000000053829 	 0.000000053829 	 0.000000053829 
ti+ 	 6 	 50 	 55 	 0 	 1 	 0.000000057157 	 0.000000057157 	 0.000000057157 
ti+ 	 6 	 55 	 60 	 0 	 1 	 0.000000058109 	 0.000000058109 	 0.000000058109 
ti+ 	 6 	 60 	 65 	 0 	 1 	 0.000000062762 	 0.000000062762 	 0.000000062762 
ti+ 	 6 	 65 	 70 	 0 	 1 	 0.000000056655 	 0.000000056655 	 0.000000056655 
ti+ 	 6 	 70 	 75 	 0 	 1 	 0.000000060958 	 0.000000060958 	 0.000000060958 
ti+ 	 6 	 0 	 120 	 1 	 3 	 0.000000000000 	 0.000000000000 	 0.000000000000 
ti- 	 7 	 0 	 5 	 0 	 1 	 0.000000020909 	 0.000000020909 	 0.000000020909 
