entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
5 10 0 1 2021 2022 24523024.000000 23797280.000000 24821508.000000
10 15 0 1 2021 2022 23697856.000000 23697856.000000 23734330.000000
15 20 0 1 2021 2022 23561410.000000 23486508.000000 23561410.000000
20 25 0 1 2021 2022 22419428.000000 22418644.000000 22419428.000000
25 30 0 1 2021 2022 21628240.000000 21623504.000000 21628240.000000
30 35 0 1 2021 2022 20987580.000000 20987580.000000 21017094.000000
35 40 0 1 2021 2022 20835032.000000 20736620.000000 20835032.000000
40 45 0 1 2021 2022 19472380.000000 19456080.000000 19472380.000000
45 50 0 1 2021 2022 18023492.000000 17991762.000000 18023492.000000
50 55 0 1 2021 2022 15999141.000000 15957290.000000 15999141.000000
55 60 0 1 2021 2022 13300343.000000 13300343.000000 13319685.000000
60 65 0 1 2021 2022 10532487.000000 10514079.000000 10532487.000000
65 70 0 1 2021 2022 7180250.000000 7180250.000000 7215915.000000
70 120 0 1 2021 2022 9267477.000000 9267477.000000 9288012.000000
0 5 0 1 2022 2023 23247520.000000 20303162.000000 26741620.000000
5 10 0 1 2022 2023 24443626.000000 23129794.000000 25178250.000000
10 15 0 1 2022 2023 23891144.000000 23891144.000000 23898522.000000
15 20 0 1 2022 2023 23514204.000000 23469616.000000 23514204.000000
20 25 0 1 2022 2023 22663828.000000 22623102.000000 22663828.000000
25 30 0 1 2022 2023 21680232.000000 21680232.000000 21701264.000000
30 35 0 1 2022 2023 21051250.000000 21051250.000000 21083292.000000
35 40 0 1 2022 2023 20823640.000000 20721798.000000 20823640.000000
40 45 0 1 2022 2023 19758692.000000 19698036.000000 19758692.000000
45 50 0 1 2022 2023 18212716.000000 18193332.000000 18212716.000000
50 55 0 1 2022 2023 16338323.000000 16273619.000000 16338323.000000
55 60 0 1 2022 2023 13692991.000000 13692991.000000 13712778.000000
60 65 0 1 2022 2023 10871347.000000 10868739.000000 10871347.000000
65 70 0 1 2022 2023 7606974.000000 7606974.000000 7638553.000000
70 120 0 1 2022 2023 9628780.000000 9628780.000000 9675145.000000
0 5 0 1 2023 2024 23208796.000000 19841426.000000 26928776.000000
5 10 0 1 2023 2024 24230814.000000 22462310.000000 25534994.000000
10 15 0 1 2023 2024 24120480.000000 24062716.000000 24120480.000000
15 20 0 1 2023 2024 23420188.000000 23420188.000000 23452722.000000
20 25 0 1 2023 2024 22912940.000000 22827558.000000 22912940.000000
25 30 0 1 2023 2024 21725528.000000 21725528.000000 21779024.000000
30 35 0 1 2023 2024 21132842.000000 21132842.000000 21149488.000000
35 40 0 1 2023 2024 20755756.000000 20706978.000000 20755756.000000
40 45 0 1 2023 2024 20041812.000000 19939990.000000 20041812.000000
45 50 0 1 2023 2024 18382336.000000 18382336.000000 18394904.000000
50 55 0 1 2023 2024 16655483.000000 16589948.000000 16655483.000000
55 60 0 1 2023 2024 14096399.000000 14096399.000000 14105870.000000
60 65 0 1 2023 2024 11198714.000000 11198714.000000 11223398.000000
65 70 0 1 2023 2024 8053257.000000 8053257.000000 8061191.000000
70 120 0 1 2023 2024 9998491.000000 9998491.000000 10062278.000000
