entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
0 5 0 1 1975 1976 4160394.000000 4160394.000000 4160394.000000
5 10 0 1 1975 1976 3541404.000000 3541404.000000 3541404.000000
10 15 0 1 1975 1976 3120387.000000 3120387.000000 3120387.000000
15 20 0 1 1975 1976 2730549.000000 2730549.000000 2730549.000000
20 25 0 1 1975 1976 2381091.000000 2381091.000000 2381091.000000
25 30 0 1 1975 1976 1858578.000000 1858578.000000 1858578.000000
30 35 0 1 1975 1976 1637469.000000 1637469.000000 1637469.000000
35 40 0 1 1975 1976 1402267.000000 1402267.000000 1402267.000000
40 45 0 1 1975 1976 1216737.000000 1216737.000000 1216737.000000
45 50 0 1 1975 1976 1045068.000000 1045068.000000 1045068.000000
50 55 0 1 1975 1976 867065.000000 867065.000000 867065.000000
55 60 0 1 1975 1976 736213.000000 736213.000000 736213.000000
60 65 0 1 1975 1976 565256.000000 565256.000000 565256.000000
65 70 0 1 1975 1976 417112.000000 417112.000000 417112.000000
70 120 0 1 1975 1976 532815.000000 532815.000000 532815.000000
0 5 0 1 1976 1977 4283836.000000 4283836.000000 4283836.000000
5 10 0 1 1976 1977 3638171.000000 3638171.000000 3638171.000000
10 15 0 1 1976 1977 3193925.000000 3193925.000000 3193925.000000
15 20 0 1 1976 1977 2796730.000000 2796730.000000 2796730.000000
20 25 0 1 1976 1977 2459934.000000 2459934.000000 2459934.000000
25 30 0 1 1976 1977 1939488.000000 1939488.000000 1939488.000000
30 35 0 1 1976 1977 1669697.000000 1669697.000000 1669697.000000
35 40 0 1 1976 1977 1438270.000000 1438270.000000 1438270.000000
40 45 0 1 1976 1977 1240827.000000 1240827.000000 1240827.000000
45 50 0 1 1976 1977 1066359.000000 1066359.000000 1066359.000000
50 55 0 1 1976 1977 882277.000000 882277.000000 882277.000000
55 60 0 1 1976 1977 744152.000000 744152.000000 744152.000000
60 65 0 1 1976 1977 575882.000000 575882.000000 575882.000000
65 70 0 1 1976 1977 424060.000000 424060.000000 424060.000000
70 120 0 1 1976 1977 550741.000000 550741.000000 550741.000000
0 5 0 1 1977 1978 4382285.000000 4382285.000000 4382285.000000
5 10 0 1 1977 1978 3743087.000000 3743087.000000 3743087.000000
10 15 0 1 1977 1978 3268515.000000 3268515.000000 3268515.000000
15 20 0 1 1977 1978 2868533.000000 2868533.000000 2868533.000000
20 25 0 1 1977 1978 2525010.000000 2525010.000000 2525010.000000
25 30 0 1 1977 1978 2040804.000000 2040804.000000 2040804.000000
30 35 0 1 1977 1978 1696792.000000 1696792.000000 1696792.000000
35 40 0 1 1977 1978 1479681.000000 1479681.000000 1479681.000000
40 45 0 1 1977 1978 1266340.000000 1266340.000000 1266340.000000
45 50 0 1 1977 1978 1088237.000000 1088237.000000 1088237.000000
50 55 0 1 1977 1978 902136.000000 902136.000000 902136.000000
55 60 0 1 1977 1978 750465.000000 750465.000000 750465.000000
60 65 0 1 1977 1978 589437.000000 589437.000000 589437.000000
65 70 0 1 1977 1978 429253.000000 429253.000000 429253.000000
70 120 0 1 1977 1978 566722.000000 566722.000000 566722.000000
0 5 0 1 1978 1979 4463976.000000 4463976.000000 4463976.000000
5 10 0 1 1978 1979 3854172.000000 3854172.000000 3854172.000000
10 15 0 1 1978 1979 3345500.000000 3345500.000000 3345500.000000
15 20 0 1 1978 1979 2944366.000000 2944366.000000 2944366.000000
20 25 0 1 1978 1979 2581417.000000 2581417.000000 2581417.000000
25 30 0 1 1978 1979 2152674.000000 2152674.000000 2152674.000000
30 35 0 1 1978 1979 1726143.000000 1726143.000000 1726143.000000
35 40 0 1 1978 1979 1523759.000000 1523759.000000 1523759.000000
40 45 0 1 1978 1979 1293972.000000 1293972.000000 1293972.000000
45 50 0 1 1978 1979 1111043.000000 1111043.000000 1111043.000000
50 55 0 1 1978 1979 925255.000000 925255.000000 925255.000000
55 60 0 1 1978 1979 757117.000000 757117.000000 757117.000000
60 65 0 1 1978 1979 604568.000000 604568.000000 604568.000000
65 70 0 1 1978 1979 434232.000000 434232.000000 434232.000000
70 120 0 1 1978 1979 579956.000000 579956.000000 579956.000000
0 5 0 1 1979 1980 4543209.000000 4543209.000000 4543209.000000
5 10 0 1 1979 1980 3965956.000000 3965956.000000 3965956.000000
10 15 0 1 1979 1980 3427757.000000 3427757.000000 3427757.000000
15 20 0 1 1979 1980 3021042.000000 3021042.000000 3021042.000000
20 25 0 1 1979 1980 2638200.000000 2638200.000000 2638200.000000
25 30 0 1 1979 1980 2259464.000000 2259464.000000 2259464.000000
30 35 0 1 1979 1980 1769206.000000 1769206.000000 1769206.000000
35 40 0 1 1979 1980 1566066.000000 1566066.000000 1566066.000000
40 45 0 1 1979 1980 1324800.000000 1324800.000000 1324800.000000
45 50 0 1 1979 1980 1135264.000000 1135264.000000 1135264.000000
50 55 0 1 1979 1980 949525.000000 949525.000000 949525.000000
55 60 0 1 1979 1980 766949.000000 766949.000000 766949.000000
60 65 0 1 1979 1980 619089.000000 619089.000000 619089.000000
65 70 0 1 1979 1980 440963.000000 440963.000000 440963.000000
70 120 0 1 1979 1980 589559.000000 589559.000000 589559.000000
0 5 0 1 1980 1981 4631387.000000 4631387.000000 4631387.000000
5 10 0 1 1980 1981 4070649.000000 4070649.000000 4070649.000000
10 15 0 1 1980 1981 3517691.000000 3517691.000000 3517691.000000
15 20 0 1 1980 1981 3097096.000000 3097096.000000 3097096.000000
20 25 0 1 1980 1981 2701333.000000 2701333.000000 2701333.000000
25 30 0 1 1980 1981 2351695.000000 2351695.000000 2351695.000000
30 35 0 1 1980 1981 1832453.000000 1832453.000000 1832453.000000
35 40 0 1 1980 1981 1604423.000000 1604423.000000 1604423.000000
40 45 0 1 1980 1981 1359480.000000 1359480.000000 1359480.000000
45 50 0 1 1980 1981 1161238.000000 1161238.000000 1161238.000000
50 55 0 1 1980 1981 973830.000000 973830.000000 973830.000000
55 60 0 1 1980 1981 781551.000000 781551.000000 781551.000000
60 65 0 1 1980 1981 631910.000000 631910.000000 631910.000000
65 70 0 1 1980 1981 450506.000000 450506.000000 450506.000000
70 120 0 1 1980 1981 595229.000000 595229.000000 595229.000000
0 5 0 1 1981 1982 4721774.000000 4721774.000000 4721774.000000
5 10 0 1 1981 1982 4180123.000000 4180123.000000 4180123.000000
10 15 0 1 1981 1982 3614921.000000 3614921.000000 3614921.000000
15 20 0 1 1981 1982 3173004.000000 3173004.000000 3173004.000000
20 25 0 1 1981 1982 2771654.000000 2771654.000000 2771654.000000
25 30 0 1 1981 1982 2433588.000000 2433588.000000 2433588.000000
30 35 0 1 1981 1982 1915058.000000 1915058.000000 1915058.000000
35 40 0 1 1981 1982 1638088.000000 1638088.000000 1638088.000000
40 45 0 1 1981 1982 1395932.000000 1395932.000000 1395932.000000
45 50 0 1 1981 1982 1184972.000000 1184972.000000 1184972.000000
50 55 0 1 1981 1982 994227.000000 994227.000000 994227.000000
55 60 0 1 1981 1982 795688.000000 795688.000000 795688.000000
60 65 0 1 1981 1982 638860.000000 638860.000000 638860.000000
65 70 0 1 1981 1982 460372.000000 460372.000000 460372.000000
70 120 0 1 1981 1982 614693.000000 614693.000000 614693.000000
0 5 0 1 1982 1983 4817600.000000 4817600.000000 4817600.000000
5 10 0 1 1982 1983 4284520.000000 4284520.000000 4284520.000000
10 15 0 1 1982 1983 3720379.000000 3720379.000000 3720379.000000
15 20 0 1 1982 1983 3248357.000000 3248357.000000 3248357.000000
20 25 0 1 1982 1983 2846737.000000 2846737.000000 2846737.000000
25 30 0 1 1982 1983 2502202.000000 2502202.000000 2502202.000000
30 35 0 1 1982 1983 2018293.000000 2018293.000000 2018293.000000
35 40 0 1 1982 1983 1667306.000000 1667306.000000 1667306.000000
40 45 0 1 1982 1983 1438053.000000 1438053.000000 1438053.000000
45 50 0 1 1982 1983 1210472.000000 1210472.000000 1210472.000000
50 55 0 1 1982 1983 1015486.000000 1015486.000000 1015486.000000
55 60 0 1 1982 1983 814149.000000 814149.000000 814149.000000
60 65 0 1 1982 1983 644390.000000 644390.000000 644390.000000
65 70 0 1 1982 1983 472152.000000 472152.000000 472152.000000
70 120 0 1 1982 1983 630163.000000 630163.000000 630163.000000
0 5 0 1 1983 1984 4913794.000000 4913794.000000 4913794.000000
5 10 0 1 1983 1984 4381236.000000 4381236.000000 4381236.000000
10 15 0 1 1983 1984 3831203.000000 3831203.000000 3831203.000000
15 20 0 1 1983 1984 3324959.000000 3324959.000000 3324959.000000
20 25 0 1 1983 1984 2924279.000000 2924279.000000 2924279.000000
25 30 0 1 1983 1984 2561906.000000 2561906.000000 2561906.000000
30 35 0 1 1983 1984 2132041.000000 2132041.000000 2132041.000000
35 40 0 1 1983 1984 1699028.000000 1699028.000000 1699028.000000
40 45 0 1 1983 1984 1482817.000000 1482817.000000 1482817.000000
45 50 0 1 1983 1984 1238291.000000 1238291.000000 1238291.000000
50 55 0 1 1983 1984 1037688.000000 1037688.000000 1037688.000000
55 60 0 1 1983 1984 835548.000000 835548.000000 835548.000000
60 65 0 1 1983 1984 650396.000000 650396.000000 650396.000000
65 70 0 1 1983 1984 484591.000000 484591.000000 484591.000000
70 120 0 1 1983 1984 641931.000000 641931.000000 641931.000000
0 5 0 1 1984 1985 4998839.000000 4998839.000000 4998839.000000
5 10 0 1 1984 1985 4470320.000000 4470320.000000 4470320.000000
10 15 0 1 1984 1985 3941509.000000 3941509.000000 3941509.000000
15 20 0 1 1984 1985 3406226.000000 3406226.000000 3406226.000000
20 25 0 1 1984 1985 3000786.000000 3000786.000000 3000786.000000
25 30 0 1 1984 1985 2621001.000000 2621001.000000 2621001.000000
30 35 0 1 1984 1985 2240533.000000 2240533.000000 2240533.000000
35 40 0 1 1984 1985 1744240.000000 1744240.000000 1744240.000000
40 45 0 1 1984 1985 1525754.000000 1525754.000000 1525754.000000
45 50 0 1 1984 1985 1269331.000000 1269331.000000 1269331.000000
50 55 0 1 1984 1985 1061164.000000 1061164.000000 1061164.000000
55 60 0 1 1984 1985 857981.000000 857981.000000 857981.000000
60 65 0 1 1984 1985 659363.000000 659363.000000 659363.000000
65 70 0 1 1984 1985 495913.000000 495913.000000 495913.000000
70 120 0 1 1984 1985 650624.000000 650624.000000 650624.000000
0 5 0 1 1985 1986 5065416.000000 5065416.000000 5065416.000000
5 10 0 1 1985 1986 4553807.000000 4553807.000000 4553807.000000
10 15 0 1 1985 1986 4045468.000000 4045468.000000 4045468.000000
15 20 0 1 1985 1986 3494128.000000 3494128.000000 3494128.000000
20 25 0 1 1985 1986 3074404.000000 3074404.000000 3074404.000000
25 30 0 1 1985 1986 2684525.000000 2684525.000000 2684525.000000
30 35 0 1 1985 1986 2333866.000000 2333866.000000 2333866.000000
35 40 0 1 1985 1986 1808934.000000 1808934.000000 1808934.000000
40 45 0 1 1985 1986 1564625.000000 1564625.000000 1564625.000000
45 50 0 1 1985 1986 1303928.000000 1303928.000000 1303928.000000
50 55 0 1 1985 1986 1086153.000000 1086153.000000 1086153.000000
55 60 0 1 1985 1986 880384.000000 880384.000000 880384.000000
60 65 0 1 1985 1986 672489.000000 672489.000000 672489.000000
65 70 0 1 1985 1986 505447.000000 505447.000000 505447.000000
70 120 0 1 1985 1986 656574.000000 656574.000000 656574.000000
0 5 0 1 1986 1987 5136214.000000 5136214.000000 5136214.000000
5 10 0 1 1986 1987 4644133.000000 4644133.000000 4644133.000000
10 15 0 1 1986 1987 4141517.000000 4141517.000000 4141517.000000
15 20 0 1 1986 1987 3583539.000000 3583539.000000 3583539.000000
20 25 0 1 1986 1987 3139356.000000 3139356.000000 3139356.000000
25 30 0 1 1986 1987 2742489.000000 2742489.000000 2742489.000000
30 35 0 1 1986 1987 2404786.000000 2404786.000000 2404786.000000
35 40 0 1 1986 1987 1883468.000000 1883468.000000 1883468.000000
40 45 0 1 1986 1987 1592903.000000 1592903.000000 1592903.000000
45 50 0 1 1986 1987 1335646.000000 1335646.000000 1335646.000000
50 55 0 1 1986 1987 1107290.000000 1107290.000000 1107290.000000
55 60 0 1 1986 1987 898992.000000 898992.000000 898992.000000
60 65 0 1 1986 1987 685812.000000 685812.000000 685812.000000
65 70 0 1 1986 1987 512890.000000 512890.000000 512890.000000
70 120 0 1 1986 1987 681384.000000 681384.000000 681384.000000
0 5 0 1 1987 1988 5174453.000000 5174453.000000 5174453.000000
5 10 0 1 1987 1988 4733743.000000 4733743.000000 4733743.000000
10 15 0 1 1987 1988 4233375.000000 4233375.000000 4233375.000000
15 20 0 1 1987 1988 3681453.000000 3681453.000000 3681453.000000
20 25 0 1 1987 1988 3203729.000000 3203729.000000 3203729.000000
25 30 0 1 1987 1988 2804557.000000 2804557.000000 2804557.000000
30 35 0 1 1987 1988 2461576.000000 2461576.000000 2461576.000000
35 40 0 1 1987 1988 1976873.000000 1976873.000000 1976873.000000
40 45 0 1 1987 1988 1616169.000000 1616169.000000 1616169.000000
45 50 0 1 1987 1988 1372164.000000 1372164.000000 1372164.000000
50 55 0 1 1987 1988 1129288.000000 1129288.000000 1129288.000000
55 60 0 1 1987 1988 918005.000000 918005.000000 918005.000000
60 65 0 1 1987 1988 702486.000000 702486.000000 702486.000000
65 70 0 1 1987 1988 518641.000000 518641.000000 518641.000000
70 120 0 1 1987 1988 703737.000000 703737.000000 703737.000000
0 5 0 1 1988 1989 5189676.000000 5189676.000000 5189676.000000
5 10 0 1 1988 1989 4822632.000000 4822632.000000 4822632.000000
10 15 0 1 1988 1989 4323571.000000 4323571.000000 4323571.000000
15 20 0 1 1988 1989 3786261.000000 3786261.000000 3786261.000000
20 25 0 1 1988 1989 3271664.000000 3271664.000000 3271664.000000
25 30 0 1 1988 1989 2870715.000000 2870715.000000 2870715.000000
30 35 0 1 1988 1989 2510382.000000 2510382.000000 2510382.000000
35 40 0 1 1988 1989 2080517.000000 2080517.000000 2080517.000000
40 45 0 1 1988 1989 1642176.000000 1642176.000000 1642176.000000
45 50 0 1 1988 1989 1411665.000000 1411665.000000 1411665.000000
50 55 0 1 1988 1989 1153353.000000 1153353.000000 1153353.000000
55 60 0 1 1988 1989 938068.000000 938068.000000 938068.000000
60 65 0 1 1988 1989 721977.000000 721977.000000 721977.000000
65 70 0 1 1988 1989 524698.000000 524698.000000 524698.000000
70 120 0 1 1988 1989 723182.000000 723182.000000 723182.000000
0 5 0 1 1989 1990 5196537.000000 5196537.000000 5196537.000000
5 10 0 1 1989 1990 4908648.000000 4908648.000000 4908648.000000
10 15 0 1 1989 1990 4417384.000000 4417384.000000 4417384.000000
15 20 0 1 1989 1990 3894996.000000 3894996.000000 3894996.000000
20 25 0 1 1989 1990 3349313.000000 3349313.000000 3349313.000000
25 30 0 1 1989 1990 2940164.000000 2940164.000000 2940164.000000
