entries=2265
amin	amax	emin	emax	tmin	tmax	value	interval
55 60 0 1 1973 1974 267627.000000 267627.000000 267627.000000
60 65 0 1 1973 1974 220514.000000 220514.000000 220514.000000
65 70 0 1 1973 1974 173302.000000 173302.000000 173302.000000
70 120 0 1 1973 1974 246575.000000 246575.000000 246575.000000
0 5 0 1 1974 1975 2676913.000000 2676913.000000 2676913.000000
5 10 0 1 1974 1975 2082168.000000 2082168.000000 2082168.000000
10 15 0 1 1974 1975 1686056.000000 1686056.000000 1686056.000000
15 20 0 1 1974 1975 1372014.000000 1372014.000000 1372014.000000
20 25 0 1 1974 1975 1094142.000000 1094142.000000 1094142.000000
25 30 0 1 1974 1975 791098.000000 791098.000000 791098.000000
30 35 0 1 1974 1975 579977.000000 579977.000000 579977.000000
35 40 0 1 1974 1975 548798.000000 548798.000000 548798.000000
40 45 0 1 1974 1975 501832.000000 501832.000000 501832.000000
45 50 0 1 1974 1975 407259.000000 407259.000000 407259.000000
50 55 0 1 1974 1975 329935.000000 329935.000000 329935.000000
55 60 0 1 1974 1975 273376.000000 273376.000000 273376.000000
60 65 0 1 1974 1975 224308.000000 224308.000000 224308.000000
65 70 0 1 1974 1975 176949.000000 176949.000000 176949.000000
70 120 0 1 1974 1975 252770.000000 252770.000000 252770.000000
0 5 0 1 1975 1976 2785337.000000 2785337.000000 2785337.000000
5 10 0 1 1975 1976 2158303.000000 2158303.000000 2158303.000000
10 15 0 1 1975 1976 1751640.000000 1751640.000000 1751640.000000
15 20 0 1 1975 1976 1425506.000000 1425506.000000 1425506.000000
20 25 0 1 1975 1976 1148829.000000 1148829.000000 1148829.000000
25 30 0 1 1975 1976 844796.000000 844796.000000 844796.000000
30 35 0 1 1975 1976 600227.000000 600227.000000 600227.000000
35 40 0 1 1975 1976 550044.000000 550044.000000 550044.000000
40 45 0 1 1975 1976 512444.000000 512444.000000 512444.000000
45 50 0 1 1975 1976 421827.000000 421827.000000 421827.000000
50 55 0 1 1975 1976 339852.000000 339852.000000 339852.000000
55 60 0 1 1975 1976 279762.000000 279762.000000 279762.000000
60 65 0 1 1975 1976 228803.000000 228803.000000 228803.000000
65 70 0 1 1975 1976 180828.000000 180828.000000 180828.000000
70 120 0 1 1975 1976 258431.000000 258431.000000 258431.000000
0 5 0 1 1976 1977 2905613.000000 2905613.000000 2905613.000000
5 10 0 1 1976 1977 2249288.000000 2249288.000000 2249288.000000
10 15 0 1 1976 1977 1815658.000000 1815658.000000 1815658.000000
15 20 0 1 1976 1977 1477602.000000 1477602.000000 1477602.000000
20 25 0 1 1976 1977 1198484.000000 1198484.000000 1198484.000000
25 30 0 1 1976 1977 898495.000000 898495.000000 898495.000000
30 35 0 1 1976 1977 629402.000000 629402.000000 629402.000000
35 40 0 1 1976 1977 549786.000000 549786.000000 549786.000000
40 45 0 1 1976 1977 519102.000000 519102.000000 519102.000000
45 50 0 1 1976 1977 435929.000000 435929.000000 435929.000000
50 55 0 1 1976 1977 349509.000000 349509.000000 349509.000000
55 60 0 1 1976 1977 285216.000000 285216.000000 285216.000000
60 65 0 1 1976 1977 232139.000000 232139.000000 232139.000000
65 70 0 1 1976 1977 183158.000000 183158.000000 183158.000000
70 120 0 1 1976 1977 267323.000000 267323.000000 267323.000000
0 5 0 1 1977 1978 3015856.000000 3015856.000000 3015856.000000
5 10 0 1 1977 1978 2347858.000000 2347858.000000 2347858.000000
10 15 0 1 1977 1978 1884442.000000 1884442.000000 1884442.000000
15 20 0 1 1977 1978 1534682.000000 1534682.000000 1534682.000000
20 25 0 1 1977 1978 1246681.000000 1246681.000000 1246681.000000
25 30 0 1 1977 1978 954516.000000 954516.000000 954516.000000
30 35 0 1 1977 1978 669353.000000 669353.000000 669353.000000
35 40 0 1 1977 1978 549450.000000 549450.000000 549450.000000
40 45 0 1 1977 1978 524009.000000 524009.000000 524009.000000
45 50 0 1 1977 1978 451542.000000 451542.000000 451542.000000
50 55 0 1 1977 1978 360499.000000 360499.000000 360499.000000
55 60 0 1 1977 1978 291537.000000 291537.000000 291537.000000
60 65 0 1 1977 1978 236410.000000 236410.000000 236410.000000
65 70 0 1 1977 1978 185858.000000 185858.000000 185858.000000
70 120 0 1 1977 1978 275600.000000 275600.000000 275600.000000
0 5 0 1 1978 1979 3121146.000000 3121146.000000 3121146.000000
5 10 0 1 1978 1979 2451811.000000 2451811.000000 2451811.000000
10 15 0 1 1978 1979 1958308.000000 1958308.000000 1958308.000000
15 20 0 1 1978 1979 1595974.000000 1595974.000000 1595974.000000
20 25 0 1 1978 1979 1294635.000000 1294635.000000 1294635.000000
25 30 0 1 1978 1979 1011416.000000 1011416.000000 1011416.000000
30 35 0 1 1978 1979 717502.000000 717502.000000 717502.000000
35 40 0 1 1978 1979 552141.000000 552141.000000 552141.000000
40 45 0 1 1978 1979 527410.000000 527410.000000 527410.000000
45 50 0 1 1978 1979 467297.000000 467297.000000 467297.000000
50 55 0 1 1978 1979 372741.000000 372741.000000 372741.000000
55 60 0 1 1978 1979 298834.000000 298834.000000 298834.000000
